participant,drinks_1,drinks_2,drinks_3,drinks_4,knnfs1_1,knnfs1_2,knnfs1_3,knnfs1_4,knnfs2_1,knnfs2_2,knnfs2_3,knnfs2_4,knnfs3_1,knnfs3_2,knnfs3_3,knnfs3_4,knnfs4_1,knnfs4_2,knnfs4_3,knnfs4_4,knn1_1,knn1_2,knn1_3,knn1_4,knn2_1,knn2_2,knn2_3,knn2_4,knn3_1,knn3_2,knn3_3,knn3_4,knn4_1,knn4_2,knn4_3,knn4_4,Discern1_1,Discern2_1,Discern3_1,Discern4_1,Discern5_1,Discern6_1,Discern7_1,Discern8_1,End1_1,kvar1_1,kvar1_2,kvar1_3,kvar2_1,kvar2_2,kvar2_3,kvar3_1,kvar3_2,kvar3_3,kvar4_1,kvar4_2,kvar4_3,gender1_1,gender2_1,gender3_1,gender4_1,genre1_1,genre1_2,genre1_3,genre1_4,genre2_1,genre2_2,genre2_3,genre2_4,genre3_1,genre3_2,genre3_3,genre3_4,genre4_1,genre4_2,genre4_3,genre4_4,endcode,CLIENT_start,TIME_start,TIME_end,TIME_total
s.624a342e-c6f6-45f1-8fc0-29778160ae96.txt,1,1,0,1,2,2,3,1,1.5,1,1.5,1.5,1,1.5,1.5,2,1.5,3,1,2,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5,3,5,5,2,4,2,2,1,1,2,2,2,2,2,2,1.5,1.5,1.5,2,2,2,1,1,3,3,2,1.5,1.5,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,SQf4tFefNt,2024-03-23-18-44,2024-04-23-18-44,2024-04-23-18-57,13
s.63ccab7f-9471-41b7-b73d-0aa95a5e2442.txt,0,0,0,2,1,1.5,1.5,1,1.5,2,1,1.5,3,3,2.5,2,1.5,1.5,3.5,3.5,1.5,2,2,2.5,3,2,3,3.5,2.5,2,2,2.5,3,2.5,3,2.5,3,1,4,1,4,4,2,2,1,3,2,2.5,2.5,2.5,2.5,3,2,3,3.5,2.5,2,1,2,2,1,1.5,2.5,3,1.5,2.5,1.5,2,1.5,2.5,3,2,3,3.5,2,3,3,jGNbtMsttO,2024-04-12-11-53,2024-05-12-11-53,2024-05-13-19-21,1888
s.d8949c4b-81b6-4dbe-a3b8-15251b4a3c10.txt,2,0,1,0,4,3,3.5,4.5,4,3.5,4,3.5,4,4,3.5,4,3.5,3.5,3,4,4,3.5,4,4.5,3,4,4,3,3,3.5,3.5,3.5,3.5,4,4,4,5,2,4,1,1,4,4,1,1,4,4,4,4,3.5,3.5,4,4.5,3.5,4,4,3.5,2,1,1,1,3,4,3.5,3.5,4.5,3.5,3,3,3.5,4.5,3,3.5,3,3.5,3.5,4,CUNa7jkBkg,2024-04-12-11-28,2024-05-12-11-28,2024-05-12-11-48,20
s.32d4ef1a-3bae-4480-8fb3-94c5e5db1c90.txt,7,2,5,5,2,1,3.5,3.5,1,2.5,3.5,3,4,4,3.5,2.5,2.5,3.5,4.5,4.5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-03-23-19-06,2024-04-23-19-06,"",""
s.1de647a5-a3c4-4740-b5eb-a713d79b573d.txt,2,0,5,2,2,3.5,3.5,1,1.5,1,3.5,1.5,1.5,2.5,3.5,5,1.5,3,1,5,4.5,1.5,3,5,1.5,1.5,4.5,4,2,4.5,1.5,4,2,2,4,4,3,2,2,1,4,2,2,4,1,1,1,1,1.5,2,2,3,2.5,3,4,4,4.5,2,2,3,2,1.5,1.5,1.5,1.5,4.5,4.5,4.5,5,2,2,2,2,2,2,2,2,TcaJWbMKRC,2024-04-22-15-26,2024-05-22-15-26,2024-05-22-15-40,14
s.816e0373-e183-4a1d-852d-9d215f799995.txt,2,2,0,4,3,3.5,3,4.5,3,4.5,4,3,3.5,4,4.5,4.5,4.5,4,2.5,3,3.5,4,3.5,4.5,3.5,4,4,3.5,3.5,4.5,3,3,3,3,3,3,3,3,2,1,2,5,4,1,1,3,3,3,3,3,3,3,3,4,4,3.5,4.5,2,1,3,1,2.5,3.5,2,4,4,3.5,3,3.5,4,4.5,3,3.5,3.5,4,4.5,3,L6Fuf8xyhQ,2024-03-23-11-51,2024-04-23-11-51,2024-04-23-12-05,14
s.0c7be82a-bf33-4c09-8b28-959ba4bdb523.txt,5,2,4,7,3,4,3.5,5,3,3,2.5,2.5,4,3,4,4.5,2.5,3.5,4,3,3.5,4,3,4.5,3,3.5,4,4,3,4,4.5,3,1.5,3,1.5,3.5,1,4,4,3,1,1,2,3,1,4,3,3,3,3,3,4,3,4.5,3.5,4,3,1,2,3,3,4.5,4,2.5,3,5,3.5,3,3,4,4.5,3.5,4,4,3,3,4.5,DcW9SOVmtv,2024-03-24-08-51,2024-04-24-14-51,2024-04-24-15-14,23
s.cff15112-c1f8-4b80-843d-250e29a149ea.txt,3,1,0,0,4,3,3,2,2.5,2,2.5,3,3.5,2.5,3,4,2.5,2,1.5,2.5,4,3.5,4,3.5,3.5,2.5,3,3,3.5,3,2.5,3,2.5,2,2.5,3,1,3,3,1,1,3,4,1,1,3.5,3,2.5,2.5,2.5,2.5,2,2,2,2.5,2.5,3,1,1,2,3,3.5,2,2.5,3,3,3.5,2.5,3.5,3.5,4,3,3.5,3,2.5,3.5,2.5,RAVScYrHnb,2024-04-14-13-41,2024-05-14-13-41,2024-05-14-14-03,22
s.3f5e8b16-7082-4b59-8fd3-7d48441ed354.txt,2,1,1,2,2.5,3.5,3.5,3.5,3.5,3.5,2,3.5,3.5,2.5,4,3,3.5,3.5,2,2.5,3,3,4,3,3,4,4,4,3,3.5,2,3,2,2,2.5,3,3,2,2,2,4,4,2,4,1,4,2,3,4,2,3,3.5,2.5,2.5,2.5,3,4,2,1,3,3,1.5,2.5,3.5,5,3.5,3.5,2,2.5,3.5,2.5,1.5,4,3,3,3,3,pkTUPNp8Cn,2024-03-22-20-36,2024-04-22-20-36,2024-04-22-20-58,22
s.6e9ab321-b52d-4877-8d04-1c792e764c50.txt,10,0,2,1,4,1.5,4.5,1.5,3.5,4,3.5,1,2,4,2.5,3.5,3,1.5,1,3.5,2,1,3.5,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-03-22-16-21,2024-04-22-16-21,"",""
